City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Kollam,IN,89.6,haze,8.88,76.6,Ashtamudi Villas
Machilipatnam,IN,87.8,scattered clouds,16.17,81.13,RK Family Restaurant
Amalapuram,IN,87.8,scattered clouds,16.58,82.02,swayamprabha service apartments
Paracuru,BR,79.0,few clouds,-3.41,-39.03,Hotel VentoBrasil
Mango,US,79.0,clear sky,27.98,-82.31,Embassy Suites by Hilton Tampa Brandon - OPEN
Kavaratti,IN,87.8,few clouds,10.57,72.64,Bismillah Hotel And Lodging
Umm Lajj,SA,79.92,clear sky,25.02,37.27,Tanal Hotel Apartment
Marsh Harbour,BS,78.57,broken clouds,26.54,-77.06,Abaco Beach Resort
Barao De Melgaco,BR,75.2,broken clouds,-16.19,-55.97,Tuiuiu Pantanal Hotel
Bodden Town,KY,82.99,scattered clouds,19.28,-81.25,Will T Place
Gazanjyk,TM,76.19,clear sky,39.24,55.52,Railway motel
Chabahar,IR,86.7,clear sky,25.29,60.64,هتل گدروشیا
Trincomalee,LK,88.77,broken clouds,8.57,81.23,Welcombe Hotel
Turkistan,KZ,76.91,clear sky,43.0,68.0,
Puerto Carreno,CO,77.5,scattered clouds,6.19,-67.49,Casa Hotel Victoria
Quatre Cocos,MU,75.2,shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
Kudahuvadhoo,MV,85.6,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
Awka,NG,75.36,overcast clouds,6.21,7.07,Best Western Meloch Hotel
Ballina,AU,80.01,broken clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
Luba,GQ,77.0,few clouds,3.46,8.55,
Coro,VE,76.78,scattered clouds,11.4,-69.67,Federal
Beloha,MG,77.61,clear sky,-25.17,45.05,
Kismayo,SO,83.55,overcast clouds,-0.36,42.55,Agan-Hotel
Tarut,SA,77.0,broken clouds,26.57,50.04,المرحوم سعيد الصديق ابو جميل
Buchanan,LR,78.8,overcast clouds,5.88,-10.05,Kamaneahn Hotel Inc
Warri,NG,77.49,overcast clouds,5.52,5.75,BON Hotel Delta
Carutapera,BR,78.91,scattered clouds,-1.2,-46.02,Lidera
