City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Acapulco,MX,2020-04-16 07:05:59,16.86,-99.89,75.2,88,40,2.91
70,Tasiilaq,GL,2020-04-16 07:03:05,65.61,-37.64,32.0,97,100,18.34
71,Kosonsoy,UZ,2020-04-16 07:06:00,41.26,71.55,60.8,51,61,6.93
72,Hermanus,ZA,2020-04-16 07:06:01,-34.42,19.23,60.01,85,0,3.0
73,Bredasdorp,ZA,2020-04-16 07:06:01,-34.53,20.04,60.01,76,0,5.82
74,Serik,TR,2020-04-16 07:06:01,36.92,31.1,68.0,34,75,10.29
75,Barrow,US,2020-04-16 07:02:27,71.29,-156.79,23.0,92,90,8.05
76,Lichinga,MZ,2020-04-16 07:06:01,-13.31,35.24,66.2,100,75,8.05
77,Peniche,PT,2020-04-16 07:06:02,39.36,-9.38,57.2,82,40,13.87
78,Itaituba,BR,2020-04-16 07:06:02,-4.28,-55.98,69.44,95,99,0.94
79,Aksarka,RU,2020-04-16 07:06:02,66.56,67.8,20.73,94,95,10.78
80,Vanimo,PG,2020-04-16 07:06:02,-2.67,141.3,84.7,73,77,5.19
81,Cravo Norte,CO,2020-04-16 07:06:03,6.3,-70.2,82.94,44,87,2.98
82,Coquimbo,CL,2020-04-16 07:06:03,-29.95,-71.34,57.2,76,100,5.82
83,Butaritari,KI,2020-04-16 07:06:03,3.07,172.79,82.96,80,81,16.13
84,Saskylakh,RU,2020-04-16 07:06:04,71.92,114.08,2.93,92,100,5.73
85,Atuona,PF,2020-04-16 07:06:04,-9.8,-139.03,82.72,73,85,11.3
86,Chuy,UY,2020-04-16 07:06:04,-33.7,-53.46,64.04,79,73,17.65
87,Chifeng,CN,2020-04-16 07:03:03,42.27,118.96,51.85,44,100,19.26
88,Nikolskoye,RU,2020-04-16 07:06:05,59.7,30.79,37.0,93,90,6.71
89,New Norfolk,AU,2020-04-16 07:06:05,-42.78,147.06,57.2,41,40,19.46
90,Arraial Do Cabo,BR,2020-04-16 07:06:05,-22.97,-42.03,75.7,83,100,4.99
91,Banfora,BF,2020-04-16 07:06:05,10.63,-4.77,79.86,44,20,3.74
92,Boyolangu,ID,2020-04-16 07:06:06,-8.12,111.89,88.18,62,9,0.92
93,Norman Wells,CA,2020-04-16 07:03:11,65.28,-126.83,33.8,69,75,2.24
94,Tripoli,LY,2020-04-16 07:01:28,32.88,13.19,63.55,84,100,10.0
95,Tubuala,PA,2020-04-16 07:06:06,9.52,-79.03,78.62,82,51,7.31
96,Palauig,PH,2020-04-16 07:06:07,15.44,119.9,87.35,64,88,5.23
97,Hofn,IS,2020-04-16 07:03:05,64.25,-15.21,35.6,69,90,8.05
98,Coihaique,CL,2020-04-16 07:06:07,-45.58,-72.07,53.26,76,94,3.0
99,Seoul,KR,2020-04-16 07:03:32,37.57,126.98,73.4,25,1,5.82
100,Altay,CN,2020-04-16 07:01:35,47.87,88.12,53.24,30,100,6.82
101,Vaini,TO,2020-04-16 07:06:08,-21.2,-175.2,77.0,88,75,7.87
102,Wakkanai,JP,2020-04-16 07:02:32,45.41,141.67,42.8,60,40,11.41
103,Talnakh,RU,2020-04-16 07:06:08,69.49,88.4,15.8,61,2,13.42
104,Klaksvik,FO,2020-04-16 07:06:09,62.23,-6.59,42.8,75,23,2.24
105,Karratha,AU,2020-04-16 07:06:09,-20.74,116.85,93.2,40,75,10.49
106,Ketchikan,US,2020-04-16 07:04:48,55.34,-131.65,48.2,93,20,8.05
107,Qaqortoq,GL,2020-04-16 07:06:09,60.72,-46.03,32.0,98,90,9.17
108,Ponta Do Sol,PT,2020-04-16 07:06:10,32.67,-17.1,60.8,67,40,8.05
109,Saldanha,ZA,2020-04-16 07:06:10,-33.01,17.94,48.2,84,90,3.94
110,Sompeta,IN,2020-04-16 07:06:10,18.93,84.6,97.05,34,0,14.83
111,Ilebo,CD,2020-04-16 07:06:11,-4.32,20.58,78.69,69,92,1.43
112,Caravelas,BR,2020-04-16 07:06:11,-17.71,-39.25,77.23,85,97,3.29
113,Mar Del Plata,AR,2020-04-16 07:02:13,-38.0,-57.56,52.0,93,3,7.25
114,Necochea,AR,2020-04-16 07:06:11,-38.55,-58.74,49.33,78,0,2.26
115,Inhambane,MZ,2020-04-16 07:06:12,-23.86,35.38,80.6,83,40,8.39
116,Ende,ID,2020-04-16 07:05:29,-8.84,121.66,82.35,76,85,9.44
117,Daryapur,IN,2020-04-16 07:06:12,20.93,77.33,106.43,9,0,8.84
118,Tazovskiy,RU,2020-04-16 07:06:13,67.47,78.7,15.8,93,0,9.55
